Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUD
2014-2015,Australian Fisheries Management Authority,TRUE,No data,Agriculture,FALSE,15/07/2015 16:04,FALSE,0,14,256,2,83,0,1,0,0,3,2,0,0,0,80,0,0,0,0,0,0,0,0,0
2014-2015,Australian Grape and Wine Authority ,TRUE,No data,Agriculture,TRUE,10/08/2015 9:58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,Agriculture,FALSE,17/04/2015 11:52,FALSE,1,14,1985,2,391,8,0,0,0,2,10,0,3,2,0,0,0,0,0,0,0,0,0,0
2014-2015,Cotton Research and Development Corporation,TRUE,No data,Agriculture,FALSE,20/07/2015 8:27,FALSE,0,1,20,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2014-2015,Department of Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,2/07/2015 14:42,FALSE,4,2,5604,53,559,141,0,0,0,3,132,0,0,0,1067,0,23539,0,9361,0,0,0,0,0
2014-2015,Fisheries Research and Development Corporation,TRUE,No data,Agriculture,TRUE,8/05/2015 11:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Grains Research and Development Corporation,TRUE,No data,Agriculture,FALSE,20/07/2015 15:31,FALSE,0,8,28,2,17,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,2/07/2015 16:32,FALSE,0,7,0,0,0,0,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,National Rural Advisory Council,TRUE,No data,Agriculture,TRUE,20/08/2015 14:36,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Parliamentary Secretary to the Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,2/07/2015 13:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
