Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training Costs FOI AUD,Training Costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2015-2016,Assistant Minister for Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,TRUE,11/07/2016 12:53,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Assistant Minister to the Deputy Prime Minister,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,TRUE,20/04/2016 13:06,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Fisheries Management Authority,TRUE,No data,Agriculture and Water Resources,FALSE,29/07/2016 8:41,FALSE,2,12,225,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,800,0,0,0
2015-2016,Australian Grape and Wine Authority ,TRUE,No data,Agriculture and Water Resources,TRUE,01/08/2016 12:52,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,Agriculture and Water Resources,FALSE,01/10/2015 9:05,FALSE,0,21,744,9,75,0,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,0,0,0
2015-2016,Cotton Research and Development Corporation,TRUE,No data,Agriculture and Water Resources,FALSE,06/07/2016 8:44,FALSE,0,1,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2015-2016,Department of Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,FALSE,16/10/2015 10:19,FALSE,2,107,5000,519,471,133,8,8,0,3,74,0,0,0,3035,0,10204,0,16472,0,3659,0,0,0
2015-2016,Fisheries Research and Development Corporation,TRUE,No data,Agriculture and Water Resources,TRUE,18/07/2016 16:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Grains Research and Development Corporation,TRUE,No data,Agriculture and Water Resources,FALSE,25/05/2016 13:03,FALSE,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Minister for Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,FALSE,11/07/2016 12:50,FALSE,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,Murray-Darling Basin Authority,TRUE,No data,Agriculture and Water Resources,FALSE,04/07/2016 9:02,FALSE,0,7,64,8,18,0,0,0,0,8,0,0,878,0,86,0,0,0,0,0,2509,0,0,0
2015-2016,Rural Industries Research and Development Corporation,TRUE,No data,Agriculture and Water Resources,FALSE,13/07/2016 15:28,FALSE,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,5218,0,0,0,0,0,0,0
