Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Aboriginal Benefit Account Advisory Committee,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Aboriginal Hostels Limited,TRUE,,Prime Minister and Cabinet,FALSE,13/07/2018 12:40,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Administrative Appeals Tribunal,TRUE,,Attorney-General's,FALSE,10/07/2018 17:33,FALSE,3,119,5950,6,0,52,0,0,0,3,6,0,0,2,10694,0,0,0,0,0,755,0,0,0
2017-2018,Admiralty Rules Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,10/07/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Biologicals,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Chemicals Scheduling ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Complementary Medicines,TRUE,Department of Health,Health,TRUE,14/06/2018 16:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Medical Devices ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Medicines Scheduling ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Non-prescription Medicines ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
