Year,Requests for personal information,Requests for other information,Total requests,Application fees AUD,Internal review fees AUD,Charges notified AUD,Charges collected AUD,Total fees and charges collected AUD,Estimated costs AUD
1982-1983,No data,No data,5576,0,0,3069.38,2067.14,2067.14,7502355
1983-1984,No data,No data,19227,0,0,22247,13535,13535,15106511
1984-1985,No data,No data,32956,0,0,32226,21977,21977,16496961
1985-1986,No data,No data,36512,0,0,113043,75464,75464,15711889
1986-1987,No data,No data,29880,69500,0,129392,91990,161490,13336864
1987-1988,No data,No data,27429,148030,5080,228214,159760,312870,11506931
1988-1989,No data,No data,24679,130400,4120,233642,121951,256471,10494376
1989-1990,No data,No data,23543,163180,3320,190378,143498,309998,10373321
1990-1991,No data,No data,24929,216365,4040,167296,131309,351714,9921772
1991-1992,No data,No data,28247,233760,4560,223743,176128,414448,12723097
1992-1993,No data,No data,33804,309766,8120,329602,226723,544609,12702329
1993-1994,No data,No data,36547,336139,4345,348101,241075,581559,13977360
1994-1995,No data,No data,37367,374396,5704,289226,206687,586787,11955482
1995-1996,No data,No data,39327,413044,4022,308608,200166,617232,14564562
1996-1997,No data,No data,30788,237839,5760,284391,116223,359822,15972950
1997-1998,No data,No data,32590,258092,5580,386726,130193,393865,12191478
1998-1999,No data,No data,33484,271026,6540,308689,168989,446555,13066029
1999-2000,No data,No data,31784,256172,5340,552038,173649,435161,14035394
2000-2001,31777,3662,35439,89815,5780,1099380,126052,221647,14415406
2001-2002,33403,3766,37169,91684,5600,825779,198551,295835,17387088
2002-2003,38120,3361,41481,104059,5626,928124,150636,260321,18398181
2003-2004,38870,3757,42627,95507,7324,1287010,268947,371778,20189136
2004-2005,35748,3517,39265,101924,5720,943429,251297,358941,22860022
2005-2006,35066,6364,41430,161203,8010,1700801,333341,502554,24903771
2006-2007,33625,5162,38787,147966,6765,1508409,240458,395189,24936178
2007-2008,24684,4335,29019,141638,9133,2683042,368077,518848,29474653
2008-2009,22033,5528,27561,165226,10228,1739706,262544,437998,30358484
2009-2010,18823,2764,21587,203572,8040,3177732,305178,516790,27484129
2010-2011,19504,4101,23605,68449,3787,3207827,536318,608554,36318030
2011-2012,19988,4776,24764,0,0,1537871,421298,421298,41718803
2012-2013,19827,5117,24944,0,0,703755,236754,236754,45231147
2013-2014,22690,5773,28463,0,0,734762,239628,239628,41836685
2014-2015,30297,5253,35550,0,0,545332,153561,153561,40021572
2015-2016,32884,5112,37996,0,0,501189,147267,147267,41151698
2016-2017,32383,7136,39519,0,0,505394,147043,147043,44787154
2017-2018,28199,6239,34438,0,0,383531,115863,115863,52186179
2018-2019,32440,6439,38879,0,0,357039,122774,122774,59844983
2019-2020,33584,7749,41333,0,0,267069,88090,88090,63906111
2020-2021,26715,8082,34797,0,0,247572,81353,81353,61484795.09
2021-2022,25173,9063,34296,0,0,272928,75537,75537,64559530.6
2022-2023,25235,8984,34219,0,0,249667,86080,86080,70328373
2023-24,25119,9587,34706,,,186107,73067,73067,86236599
