Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUD
2013-2014,Australian Fisheries Management Authority,TRUE,No data,Agriculture,FALSE,8/07/2014 11:03,FALSE,0,14,52,2,24,0,0,0,0,3,2,0,0,0,70,0,0,0,0,0,0,0,0,0
2013-2014,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,Agriculture,FALSE,30/07/2014 23:34,FALSE,2,4,3838,3,8,0,0,0,0,1,0,0,10,8,0,0,0,0,0,0,0,0,0,0
2013-2014,Cotton Research and Development Corporation,TRUE,No data,Agriculture,FALSE,1/10/2013 15:22,FALSE,0,1,40,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
2013-2014,Department of Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,8/07/2014 14:00,FALSE,3,3,6006,68,567,92,16,7,0,3,147,0,0,0,23388,0,9000,0,5584,0,890,0,0,0
2013-2014,Fisheries Research and Development Corporation,TRUE,No data,Agriculture,FALSE,30/07/2014 23:53,FALSE,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2424,0,0,0,0,0,0,0,0,0
2013-2014,Grains Research and Development Corporation,TRUE,No data,Agriculture,FALSE,22/07/2014 11:35,FALSE,0,8,78,16,43,0,0,0,0,1,4,0,0,0,0,0,14718,0,0,0,0,0,0,0
2013-2014,Grape and Wine Research and Development Corporation,FALSE,No data,Agriculture,FALSE,2/07/2014 16:17,TRUE,0,1,40,10,5,5,0,0,0,1,20,0,0,0,0,0,0,0,0,0,1500,0,0,0
2013-2014,Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,FALSE,30/07/2014 23:59,FALSE,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,National Rural Advisory Council,TRUE,No data,Agriculture,TRUE,6/05/2014 10:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Parliamentary Secretary to the Minister for Agriculture,TRUE,Department of Agriculture,Agriculture,TRUE,31/07/2014 0:25,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Rural Industries Research and Development Corporation,TRUE,No data,Agriculture,FALSE,17/07/2014 13:12,FALSE,0,2,8,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Sugar Research and Development Corporation,FALSE,No data,Agriculture,TRUE,31/07/2014 0:21,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Wine Australia Corporation,FALSE,No data,Agriculture,TRUE,25/07/2014 21:43,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Administrative Appeals Tribunal,TRUE,No data,Attorney-General's,FALSE,21/07/2014 12:56,FALSE,0,7,88,0,2,0,0,0,0,1,46,0,0,0,50,0,0,0,0,0,0,0,0,0
2013-2014,Administrative Review Council,TRUE,No data,Attorney-General's,FALSE,30/07/2014 23:12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Admiralty Rules Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,30/07/2014 23:13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Attorney-General,TRUE,Attorney-General's Department,Attorney-General's,FALSE,30/07/2014 23:19,FALSE,0,2,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Attorney-General's Department,TRUE,Attorney-General's Department,Attorney-General's,FALSE,13/02/2014 16:07,FALSE,6,189,5928,232,1160,1160,0,0,6,2,3312,0,0,1656,11530,0,0,0,0,0,3375,0,0,0
2013-2014,Australia Council for the Arts,TRUE,No data,Attorney-General's,FALSE,30/07/2014 23:23,FALSE,0,2,0,3,0,0,0,0,0,0,0,0,0,1,300,50,0,0,0,0,0,0,0,0
2013-2014,Australian Commission for Law Enforcement Integrity,TRUE,No data,Attorney-General's,FALSE,30/07/2014 23:25,FALSE,0,18,36,0,6,1,0,0,0,3,4,0,1,0,0,265,0,0,0,0,0,0,0,0
2013-2014,Australian Crime Commission,TRUE,No data,Attorney-General's,FALSE,30/07/2014 23:28,FALSE,1,10,1150,55,176,0,0,0,0,2,15,0,0,0,0,0,1164,0,0,0,679,0,0,0
2013-2014,Australian Federal Police,TRUE,No data,Attorney-General's,FALSE,25/06/2014 9:50,FALSE,8,493,14883,17,510,5136,7,0,1,62,1860,207,2358,2213,0,0,15125,0,0,0,0,0,0,0
2013-2014,"Australian Film, Television and Radio School",TRUE,No data,Attorney-General's,FALSE,8/07/2014 15:44,FALSE,0,4,10,3,1,0,1,1,0,3,3,0,2,0,4,0,2432,0,0,0,0,0,0,0
2013-2014,Australian Financial Security Authority,TRUE,No data,Attorney-General's,FALSE,29/07/2014 10:13,FALSE,0,30,450,5,40,50,0,0,0,2,3,0,0,0,1750,0,0,0,0,0,0,0,0,0
2013-2014,Australian Human Rights Commission,TRUE,No data,Attorney-General's,FALSE,17/07/2014 14:13,FALSE,0,6,0,0,347,27,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0
2013-2014,Australian Institute of Criminology,TRUE,No data,Attorney-General's,FALSE,28/07/2014 9:23,FALSE,1,0,19,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0
2013-2014,Australian Law Reform Commission,TRUE,No data,Attorney-General's,FALSE,28/07/2014 10:06,FALSE,0,5,14,2,0,4,0,0,0,2,182,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Australian National Maritime Museum,TRUE,No data,Attorney-General's,FALSE,30/07/2014 23:33,FALSE,0,3,100,5,10,20,0,0,0,2,100,0,10,20,100,100,0,0,0,0,0,0,0,0
2013-2014,Australian Transaction Reports and Analysis Centre (AUSTRAC),TRUE,No data,Attorney-General's,FALSE,1/07/2014 8:36,FALSE,2,2,3,0,2010,1610,0,0,0,2,2,0,10,1,0,0,0,0,0,0,2240,0,0,0
2013-2014,Classification Board,TRUE,Attorney-General's Department,Attorney-General's,TRUE,30/07/2014 23:40,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Classification Review Board,TRUE,Attorney-General's Department,Attorney-General's,TRUE,30/07/2014 23:40,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Copyright Tribunal of Australia,TRUE,No data,Attorney-General's,FALSE,30/07/2014 23:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,CrimTrac,TRUE,No data,Attorney-General's,FALSE,14/07/2014 11:23,FALSE,1,4,1630,0,5,10,0,0,0,1,20,0,0,0,250,100,0,0,0,0,0,0,0,0
2013-2014,Defence Force Discipline Appeal Tribunal,TRUE,No data,Attorney-General's,TRUE,30/07/2014 23:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Family Court of Australia,TRUE,No data,Attorney-General's,FALSE,30/06/2014 13:20,FALSE,0,1,17,0,6,0,0,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-2014,Family Law Council,TRUE,No data,Attorney-General's,TRUE,4/07/2014 17:16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Federal Circuit Court of Australia,TRUE,No data,Attorney-General's,FALSE,17/04/2014 9:45,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Federal Court of Australia,TRUE,No data,Attorney-General's,FALSE,8/07/2014 16:37,FALSE,0,3,15,0,1,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Film Certification Advisory Board,TRUE,Attorney-General's Department,Attorney-General's,TRUE,30/07/2014 23:53,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,High Court of Australia,TRUE,No data,Attorney-General's,FALSE,29/07/2014 14:27,FALSE,0,4,0,20,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister Assisting on Queensland Floods Recovery,FALSE,Attorney-General's Department,Attorney-General's,TRUE,25/07/2014 22:48,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Emergency Management,FALSE,Attorney-General's Department,Attorney-General's,TRUE,25/07/2014 22:58,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Home Affairs,FALSE,Attorney-General's Department,Attorney-General's,TRUE,26/07/2014 18:33,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for Justice,TRUE,Attorney-General's Department,Attorney-General's,FALSE,31/07/2014 0:04,FALSE,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Minister for the Arts,TRUE,Attorney-General's Department,Attorney-General's,TRUE,16/07/2014 15:57,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Museum of Australian Democracy,TRUE,No data,Attorney-General's,FALSE,2/07/2014 10:53,FALSE,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,National Archives of Australia,TRUE,No data,Attorney-General's,FALSE,15/07/2014 8:21,FALSE,0,1,135,4,0,0,0,0,0,1,8,0,0,0,7297,393,0,0,0,0,131,0,0,0
2013-2014,National Film and Sound Archive of Australia,TRUE,No data,Attorney-General's,FALSE,21/07/2014 13:57,FALSE,0,1,35,1,1,1,0,0,0,3,20,0,5,10,100,100,400,0,0,0,0,0,0,0
2013-2014,National Gallery of Australia,TRUE,No data,Attorney-General's,FALSE,31/07/2014 0:08,FALSE,0,1,60,14,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,900,0,0,0
2013-2014,National Library of Australia,TRUE,No data,Attorney-General's,FALSE,21/07/2014 8:10,FALSE,0,3,50,10,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,National Museum of Australia,TRUE,No data,Attorney-General's,FALSE,7/07/2014 9:09,FALSE,0,2,77,2,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0
2013-2014,National Native Title Tribunal,TRUE,No data,Attorney-General's,FALSE,22/01/2014 14:58,FALSE,0,6,0,10,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,National Portrait Gallery of Australia,TRUE,No data,Attorney-General's,FALSE,29/07/2014 15:29,FALSE,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Office of Parliamentary Counsel,TRUE,No data,Attorney-General's,FALSE,31/07/2014 0:12,FALSE,0,1,10,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Office of the Australian Information Commissioner,TRUE,No data,Attorney-General's,FALSE,18/07/2014 11:56,FALSE,1,15,487,10,120,20,0,0,0,3,110,5,20,0,950,0,0,0,0,0,0,0,0,0
2013-2014,Office of the Commonwealth Director of Public Prosecutions,TRUE,No data,Attorney-General's,FALSE,8/07/2014 12:00,FALSE,0,18,350,50,80,150,0,0,0,2,14,2,0,0,3500,500,0,0,0,0,0,0,0,0
2013-2014,Public Lending Right Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,14/10/2013 12:27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
