Report year,Quarter,Agency,Is agency active,Administrating agency name,Portfolio,Nil return,Last return by agency,Date created,Personal requests received from applicants,Other requests received from applicants,Personal requests on transfer,Other requests on transfer,Personal requests on hand 1 July 2011,Other requests on hand 1 July 2011 ,Personal requests granted in full,Other requests granted in full,Personal requests granted in part,Other requests granted in part,Personal requests refused,Other requests refused,Personal requests transferred,Other requests transferred,Personal requests withdrawn,Other requests withdrawn,Personal requests responded to in time,Other requests responded to in time,Personal requests responded to up to 30 days out of time,Other requests responded to up to 30 days out of time,Personal requests responded to 31 to 60 days out of time,Other requests responded to 31 to 60 days out of time,Personal requests responded to 61 to 90 days out of time,Other requests responded to 61 to 90 days out of time,Personal requests responded to over 90 days out of time,Other requests responded to over 90 days out of time,Personal requests where charges notified,Other requests where charges notified,Total charges notified for personal requests AUD,Total charges notified for other requests AUD,Total charges collected for personal requests AUD,Total charges collected for other requests AUD,Internal review applications for personal requests,Internal review applications for other requests,Internal review decisions affirmed for personal requests,Internal review decisions affirmed for other requests,Internal review access granted in full for personal requests,Internal review access granted in full for other requests,Internal review access granted in part for personal requests,Internal review access granted in part for other requests,Internal review access grant after deferment personal requests,Internal review access grant after deferment  other requests,Internal review access grant in another form personal requests,Internal review access grant in another form other requests,Internal review charges reduced for personal requests,Internal review charges reduced for other requests,Internal review personal requests withdrawn without concession,Internal review other requests withdrawn without concession,s 48 requests received,s 48 requests responded to in time,s 48 requests responded to up to 30 days out of time,s 48 requests responded to over 30 days out of time,s 48 request granted record altered,s 48 request granted record notated,s 48 request granted record altered and notated,s 48 requests refused,s 48 internal review applications,s 48 internal review granted record altered,s 48 internal review granted record notated,s 48 internal review granted record altered and notated,s 48 internal review application refused,Practical refusal notification personal request,Practical refusal notification other request,Practical refusal subsequently processed personal request,Practical refusal subequently processed other request,Personal requests where no exemption claimed,Other requests where no exemptions claimed,Personal requests where s 33 claimed,Other requests where s 33 claimed,Personal requests where s 34 claimed,Other requests where s 34 claimed,Personal requests where s 37 claimed,Other requests where s 37 claimed,Personal requests where s 38 claimed,Other requests where s 38 claimed,Personal requests where s 42 claimed,Other requests where s 42 claimed,Personal requests where s 45 claimed,Other requests where s 45 claimed,Personal requests where s 46 claimed,Other requests where s 46 claimed,Personal requests where s 47 claimed,Other requests where s 47 claimed,Personal requests where s 47A claimed,Other requests where s 47A claimed,Personal requests where s 47B claimed,Other requests where s 47B claimed,Personal requests where s 47C claimed,Other requests where s 47C claimed,Personal requests where s 47D claimed,Other requests where s 47D claimed,Personal requests where s 47E claimed,Other requests where s 47E claimed,Personal requests where s 47F claimed,Other requests where s 47F claimed,Personal requests where s 47G claimed,Other requests where s 47G claimed,Personal requests where s 47H claimed,Other requests where s 47H claimed,Personal requests where s 47J claimed,Other requests where s 47J claimed
2011-2012,1,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,20/10/2011 14:34,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,20/01/2012 8:22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3001,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,3,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,20/01/2012 8:17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,4,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,12/07/2012 11:19,1,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2386,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
2011-2012,1,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,12/10/2011 11:55,0,25,0,0,0,54,0,25,0,32,0,0,0,0,0,12,0,55,0,2,0,0,0,0,0,0,0,41,0,9896,0,5757,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0
2011-2012,2,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,24/01/2012 11:26,0,12,0,0,0,0,0,10,0,1,0,3,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,12,0,6417,0,5412,0,9,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-2012,3,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,10/04/2012 10:56,0,19,0,0,0,0,0,7,0,5,0,1,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,11,0,3568,0,3087,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
2011-2012,4,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,3/07/2012 14:06,0,43,0,0,0,0,0,0,0,10,0,3,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,16,0,1821,0,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
2011-2012,1,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,10/11/2011 16:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,20/01/2012 9:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
