PerfID,EmpID,Rating,PerfDate
1,1,1,2015-12-31 00:00:00
2,2,2,2015-12-31 00:00:00
3,3,2,2015-12-31 00:00:00
4,4,4,2015-12-31 00:00:00
5,5,2,2015-12-31 00:00:00
6,6,5,2015-12-31 00:00:00
7,7,3,2015-12-31 00:00:00
8,8,4,2015-12-31 00:00:00
9,10,4,2015-12-31 00:00:00
10,11,3,2015-12-31 00:00:00
11,12,4,2015-12-31 00:00:00
12,13,3,2015-12-31 00:00:00
13,14,4,2015-12-31 00:00:00
14,16,3,2015-12-31 00:00:00
15,17,3,2015-12-31 00:00:00
16,18,4,2015-12-31 00:00:00
17,19,1,2015-12-31 00:00:00
18,20,3,2015-12-31 00:00:00
19,21,1,2015-12-31 00:00:00
20,23,4,2015-12-31 00:00:00
21,24,3,2015-12-31 00:00:00
22,25,2,2015-12-31 00:00:00
23,26,3,2015-12-31 00:00:00
24,27,3,2015-12-31 00:00:00
25,28,3,2015-12-31 00:00:00
26,29,2,2015-12-31 00:00:00
27,30,4,2015-12-31 00:00:00
28,31,4,2015-12-31 00:00:00
29,32,4,2015-12-31 00:00:00
30,33,2,2015-12-31 00:00:00
31,34,1,2015-12-31 00:00:00
32,35,3,2015-12-31 00:00:00
33,36,2,2015-12-31 00:00:00
34,39,3,2015-12-31 00:00:00
35,42,1,2015-12-31 00:00:00
36,43,1,2015-12-31 00:00:00
37,44,5,2015-12-31 00:00:00
38,45,1,2015-12-31 00:00:00
39,46,4,2015-12-31 00:00:00
40,47,4,2015-12-31 00:00:00
41,49,4,2015-12-31 00:00:00
42,51,4,2015-12-31 00:00:00
43,52,1,2015-12-31 00:00:00
44,53,3,2015-12-31 00:00:00
45,54,3,2015-12-31 00:00:00
46,55,5,2015-12-31 00:00:00
47,56,1,2015-12-31 00:00:00
48,57,3,2015-12-31 00:00:00
49,58,4,2015-12-31 00:00:00
50,59,3,2015-12-31 00:00:00
51,60,4,2015-12-31 00:00:00
52,61,3,2015-12-31 00:00:00
53,62,2,2015-12-31 00:00:00
54,63,5,2015-12-31 00:00:00
55,64,4,2015-12-31 00:00:00
56,65,3,2015-12-31 00:00:00
57,67,1,2015-12-31 00:00:00
58,69,3,2015-12-31 00:00:00
59,71,3,2015-12-31 00:00:00
60,72,3,2015-12-31 00:00:00
61,73,3,2015-12-31 00:00:00
62,74,4,2015-12-31 00:00:00
63,75,2,2015-12-31 00:00:00
64,76,3,2015-12-31 00:00:00
65,77,3,2015-12-31 00:00:00
66,78,3,2015-12-31 00:00:00
67,79,1,2015-12-31 00:00:00
68,80,5,2015-12-31 00:00:00
69,81,3,2015-12-31 00:00:00
70,82,2,2015-12-31 00:00:00
71,83,3,2015-12-31 00:00:00
72,84,4,2015-12-31 00:00:00
73,85,3,2015-12-31 00:00:00
74,87,2,2015-12-31 00:00:00
75,88,1,2015-12-31 00:00:00
76,89,3,2015-12-31 00:00:00
77,90,4,2015-12-31 00:00:00
78,91,3,2015-12-31 00:00:00
79,92,3,2015-12-31 00:00:00
80,93,3,2015-12-31 00:00:00
81,94,3,2015-12-31 00:00:00
82,95,2,2015-12-31 00:00:00
83,96,2,2015-12-31 00:00:00
84,97,3,2015-12-31 00:00:00
85,98,3,2015-12-31 00:00:00
86,99,3,2015-12-31 00:00:00
87,100,5,2015-12-31 00:00:00
88,102,3,2015-12-31 00:00:00
89,103,4,2015-12-31 00:00:00
90,104,3,2015-12-31 00:00:00
91,105,4,2015-12-31 00:00:00
92,106,3,2015-12-31 00:00:00
93,107,5,2015-12-31 00:00:00
94,108,3,2015-12-31 00:00:00
95,109,1,2015-12-31 00:00:00
96,110,1,2015-12-31 00:00:00
97,111,3,2015-12-31 00:00:00
98,112,4,2015-12-31 00:00:00
99,113,5,2015-12-31 00:00:00
100,114,3,2015-12-31 00:00:00
101,115,3,2015-12-31 00:00:00
102,117,2,2015-12-31 00:00:00
103,118,3,2015-12-31 00:00:00
104,119,3,2015-12-31 00:00:00
105,120,5,2015-12-31 00:00:00
106,121,1,2015-12-31 00:00:00
107,122,2,2015-12-31 00:00:00
108,123,4,2015-12-31 00:00:00
109,124,4,2015-12-31 00:00:00
110,125,3,2015-12-31 00:00:00
111,126,4,2015-12-31 00:00:00
112,128,4,2015-12-31 00:00:00
113,129,1,2015-12-31 00:00:00
114,130,4,2015-12-31 00:00:00
115,131,2,2015-12-31 00:00:00
116,132,3,2015-12-31 00:00:00
117,133,3,2015-12-31 00:00:00
118,134,1,2015-12-31 00:00:00
119,135,3,2015-12-31 00:00:00
120,136,4,2015-12-31 00:00:00
121,137,2,2015-12-31 00:00:00
122,138,5,2015-12-31 00:00:00
123,139,3,2015-12-31 00:00:00
124,140,3,2015-12-31 00:00:00
125,141,2,2015-12-31 00:00:00
126,142,2,2015-12-31 00:00:00
127,143,4,2015-12-31 00:00:00
128,144,4,2015-12-31 00:00:00
129,145,4,2015-12-31 00:00:00
130,146,4,2015-12-31 00:00:00
131,147,4,2015-12-31 00:00:00
132,148,1,2015-12-31 00:00:00
133,149,3,2015-12-31 00:00:00
134,150,3,2015-12-31 00:00:00
135,151,4,2015-12-31 00:00:00
136,152,4,2015-12-31 00:00:00
137,153,2,2015-12-31 00:00:00
138,155,3,2015-12-31 00:00:00
139,156,4,2015-12-31 00:00:00
140,157,2,2015-12-31 00:00:00
141,158,5,2015-12-31 00:00:00
142,160,4,2015-12-31 00:00:00
143,161,3,2015-12-31 00:00:00
144,162,3,2015-12-31 00:00:00
145,163,3,2015-12-31 00:00:00
146,164,3,2015-12-31 00:00:00
147,165,3,2015-12-31 00:00:00
148,166,3,2015-12-31 00:00:00
149,167,3,2015-12-31 00:00:00
150,168,3,2015-12-31 00:00:00
151,170,4,2015-12-31 00:00:00
152,172,4,2015-12-31 00:00:00
153,173,2,2015-12-31 00:00:00
154,174,1,2015-12-31 00:00:00
155,175,1,2015-12-31 00:00:00
156,176,5,2015-12-31 00:00:00
157,177,4,2015-12-31 00:00:00
158,178,2,2015-12-31 00:00:00
159,179,2,2015-12-31 00:00:00
160,180,4,2015-12-31 00:00:00
161,181,2,2015-12-31 00:00:00
162,182,5,2015-12-31 00:00:00
163,184,4,2015-12-31 00:00:00
164,185,2,2015-12-31 00:00:00
165,186,1,2015-12-31 00:00:00
166,187,1,2015-12-31 00:00:00
167,188,1,2015-12-31 00:00:00
168,189,2,2015-12-31 00:00:00
169,190,2,2015-12-31 00:00:00
170,191,3,2015-12-31 00:00:00
171,192,3,2015-12-31 00:00:00
172,193,3,2015-12-31 00:00:00
173,194,4,2015-12-31 00:00:00
174,197,4,2015-12-31 00:00:00
175,199,4,2015-12-31 00:00:00
176,200,2,2015-12-31 00:00:00
177,202,3,2015-12-31 00:00:00
178,204,3,2015-12-31 00:00:00
179,205,5,2015-12-31 00:00:00
180,206,2,2015-12-31 00:00:00
181,207,3,2015-12-31 00:00:00
182,208,4,2015-12-31 00:00:00
183,209,3,2015-12-31 00:00:00
184,210,3,2015-12-31 00:00:00
185,211,3,2015-12-31 00:00:00
186,212,5,2015-12-31 00:00:00
187,214,3,2015-12-31 00:00:00
188,218,4,2015-12-31 00:00:00
189,219,2,2015-12-31 00:00:00
190,220,4,2015-12-31 00:00:00
191,221,4,2015-12-31 00:00:00
192,222,3,2015-12-31 00:00:00
193,223,3,2015-12-31 00:00:00
194,224,4,2015-12-31 00:00:00
195,225,3,2015-12-31 00:00:00
196,226,3,2015-12-31 00:00:00
197,227,3,2015-12-31 00:00:00
198,228,3,2015-12-31 00:00:00
199,229,4,2015-12-31 00:00:00
200,230,2,2015-12-31 00:00:00
201,232,5,2015-12-31 00:00:00
202,233,1,2015-12-31 00:00:00
203,234,3,2015-12-31 00:00:00
204,235,3,2015-12-31 00:00:00
205,240,3,2015-12-31 00:00:00
206,241,3,2015-12-31 00:00:00
207,242,4,2015-12-31 00:00:00
208,243,3,2015-12-31 00:00:00
209,244,5,2015-12-31 00:00:00
210,245,4,2015-12-31 00:00:00
211,246,5,2015-12-31 00:00:00
212,247,3,2015-12-31 00:00:00
213,248,4,2015-12-31 00:00:00
214,249,5,2015-12-31 00:00:00
215,250,4,2015-12-31 00:00:00
216,251,3,2015-12-31 00:00:00
217,252,1,2015-12-31 00:00:00
218,253,3,2015-12-31 00:00:00
219,255,3,2015-12-31 00:00:00
220,256,2,2015-12-31 00:00:00
221,257,3,2015-12-31 00:00:00
222,258,2,2015-12-31 00:00:00
223,259,4,2015-12-31 00:00:00
224,260,3,2015-12-31 00:00:00
225,261,3,2015-12-31 00:00:00
226,262,1,2015-12-31 00:00:00
227,264,4,2015-12-31 00:00:00
228,265,3,2015-12-31 00:00:00
229,266,2,2015-12-31 00:00:00
230,267,2,2015-12-31 00:00:00
231,268,4,2015-12-31 00:00:00
