Report year,Agency Name,Is agency active,Administrating Agency Name,Portfolio,nil_return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUD
2019,Aboriginal Benefit Account Advisory Committee,TRUE,National Indigenous Australians Agency,Prime Minister and Cabinet,TRUE,9/07/2019 13:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Aboriginal Hostels Limited,TRUE,,Prime Minister and Cabinet,TRUE,19/08/2019 14:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Administrative Appeals Tribunal,TRUE,,Attorney-General's,FALSE,23/07/2019 16:26,0,2,137,4730,6,310,68,0,0,0,3,5,0,0,2,10489,0,0,0,0,0,829,0,0,0
2019,Admiralty Rules Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,10/07/2019 14:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Biologicals,TRUE,Department of Health,Health,TRUE,4/07/2019 11:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Chemicals Scheduling ,TRUE,Department of Health,Health,TRUE,4/07/2019 11:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Complementary Medicines,TRUE,Department of Health,Health,TRUE,4/07/2019 11:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Medical Devices ,TRUE,Department of Health,Health,TRUE,4/07/2019 11:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Medicines Scheduling ,TRUE,Department of Health,Health,TRUE,30/01/2019 12:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Non-prescription Medicines ,TRUE,Department of Health,Health,TRUE,29/01/2019 14:38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on Prescription Medicines,TRUE,Department of Health,Health,TRUE,29/01/2019 14:41,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on the Safety of Medical Devices,TRUE,Department of Health,Health,TRUE,29/01/2019 14:43,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Advisory Committee on the Safety of Medicines,TRUE,Department of Health,Health,TRUE,29/01/2019 14:42,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Aged Care Complaints Commissioner,FALSE,,Health,FALSE,8/01/2019 9:43,-1,2,3,2500,10,10,250,0,0,0,2,10,0,0,0,400,0,6259,0,4130,0,0,0,0,0
2019,Aged Care Quality and Safety Commission,TRUE,Aged Care Quality and Safety Commission,Health,FALSE,30/07/2019 8:49,0,3,2,3000,50,50,0,0,0,0,0,0,0,0,0,0,0,16672,0,0,0,0,0,0,0
2019,AgriFutures,TRUE,,Agriculture,TRUE,1/08/2019 15:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Airservices Australia,TRUE,,"Infrastructure, Transport, Cities and Regional Development",FALSE,19/08/2019 15:48,0,2,15,7900,100,7800,0,0,0,1,0,400,0,400,0,0,0,9938,0,0,0,9898,0,0,0
2019,Army and Air Force Canteen Service,TRUE,,Defence,TRUE,8/07/2019 14:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Asbestos Safety and Eradication Agency,TRUE,,Attorney-General's,FALSE,16/07/2019 9:46,0,0,5,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Defence Minister,TRUE,Department of Defence,Defence,TRUE,25/07/2019 12:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Agriculture and Water Resources,TRUE,,Agriculture,FALSE,16/07/2019 16:36,-1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Children and Families,TRUE,Department of Social Services,Social Services,TRUE,30/07/2019 11:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Cities and Digital Transformation,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,16/07/2019 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Assistant Minister for Community Housing, Homelessness and Community Services",TRUE,Department of Social Services,Social Services,TRUE,15/08/2019 16:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Forestry and Fisheries,TRUE,Department of Agriculture,Agriculture,TRUE,16/07/2019 16:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Home Affairs,TRUE,Department of Home Affairs,Home Affairs,FALSE,19/08/2019 22:42,-1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Assistant Minister for Industry, Innovation and Science",TRUE,"Department of Industry, Innovation and Science","Industry, Innovation and Science",TRUE,18/07/2019 10:04,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Regional Development and Territories,TRUE,"Department of Infrastructure, Transport, Cities and Regional Development","Infrastructure, Transport, Cities and Regional Development",TRUE,29/07/2019 10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Road Safety and Freight Transport,TRUE,"Department of Infrastructure, Transport, Cities and Regional Development","Infrastructure, Transport, Cities and Regional Development",TRUE,29/07/2019 10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Assistant Minister for Social Services, Housing and Disability Services",FALSE,Department of Social Services,Social Services,TRUE,30/07/2019 11:24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Treasury and Finance,TRUE,Department of the Treasury,Treasury,FALSE,15/07/2019 15:35,-1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister for Vocational Education and Skills,TRUE,,Education,TRUE,17/10/2018 16:40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Assistant Minister for Vocational Education, Training and Apprenticeships",TRUE,"Department of Employment, Skills, Small and Family Business","Employment, Skills, Small and Family Business",TRUE,10/07/2019 16:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister to the Deputy Prime Minister,TRUE,"Department of Infrastructure, Transport, Cities and Regional Development","Infrastructure, Transport, Cities and Regional Development",TRUE,29/07/2019 10:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Minister to the Prime Minister and Cabinet,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,30/07/2019 14:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Trade and Investment Minister,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,FALSE,19/08/2019 22:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Assistant Treasurer,TRUE,Department of the Treasury,Treasury,FALSE,15/07/2019 15:35,0,0,3,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Attorney-General,TRUE,Attorney-General's Department,Attorney-General's,FALSE,21/01/2019 10:00,0,0,15,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Attorney-General's Department,TRUE,Attorney-General's Department,Attorney-General's,FALSE,10/07/2019 13:24,0,5,574,11539,706,2119,1413,0,0,0,1,105,0,9,14,4413,0,0,0,0,0,2960,0,0,0
2019,Auditing and Assurance Standards Board,TRUE,,Treasury,TRUE,19/08/2019 14:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australasian Procurement and Construction Council Inc,FALSE,Department of Finance,Finance,TRUE,17/07/2019 10:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australia Council,TRUE,Australia Council,Communications and the Arts,TRUE,5/07/2019 11:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Accounting Standards Board,TRUE,,Treasury,TRUE,19/08/2019 14:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Aged Care Quality Agency,FALSE,,Social Services,FALSE,17/01/2019 15:12,-1,0,2,2,90,0,100,0,0,0,1,1,10,0,0,0,0,2587,0,16270,0,0,0,0,0
2019,Australian Broadcasting Corporation,TRUE,,Communications and the Arts,FALSE,9/07/2019 11:49,0,1,121,384,7,122,26,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
