Report year,Quarter,Agency,Is agency active,Administrating agency name,Portfolio,Nil return,Last return by agency,Date created,Personal requests received from applicants,Other requests received from applicants,Personal requests on transfer,Other requests on transfer,Personal requests on hand 1 July 2012,Other requests on hand 1 July 2012,Personal requests granted in full,Other requests granted in full,Personal requests granted in part,Other requests granted in part,Personal requests refused,Other requests refused,Personal requests transferred,Other requests transferred,Personal requests withdrawn,Other requests withdrawn,Personal requests responded to in time,Other requests responded to in time,Personal requests responded to up to 30 days out of time,Other requests responded to up to 30 days out of time,Personal requests responded to 31 to 60 days out of time,Other requests responded to 31 to 60 days out of time,Personal requests responded to 61 to 90 days out of time,Other requests responded to 61 to 90 days out of time,Personal requests responded to over 90 days out of time,Other requests responded to over 90 days out of time,Personal requests where charges notified,Other requests where charges notified,Total charges notified for personal requests AUD,Total charges notified for other requests AUD,Total charges collected for personal requests AUD,Total charges collected for other requests AUD,Internal review applications for personal requests,Internal review applications for other requests,Internal review decisions affirmed for personal requests,Internal review decisions affirmed for other requests,Internal review access granted in full for personal requests,Internal review access granted in full for other requests,Internal review access granted in part for personal requests,Internal review access granted in part for other requests,Internal review access grant after deferment personal requests,Internal review access grant after deferment  other requests,Internal review access grant in another form personal requests,Internal review access grant in another form other requests,Internal review charges reduced for personal requests,Internal review charges reduced for other requests,Internal review personal requests withdrawn without concession,Internal review other requests withdrawn without concession,s 48 requests received,s 48 requests responded to in time,s 48 requests responded to up to 30 days out of time,s 48 requests responded to over 30 days out of time,s 48 request granted record altered,s 48 request granted record notated,s 48 request granted record altered and notated,s 48 requests refused,s 48 internal review applications,s 48 internal review granted record altered,s 48 internal review granted record notated,s 48 internal review granted record altered and notated,s 48 internal review application refused,Practical refusal notification personal request,Practical refusal notification other request,Practical refusal subsequently processed personal request,Practical refusal subequently processed other request,Personal requests where no exemption claimed,Other requests where no exemptions claimed,Personal requests where s 33 claimed,Other requests where s 33 claimed,Personal requests where s 34 claimed,Other requests where s 34 claimed,Personal requests where s 37 claimed,Other requests where s 37 claimed,Personal requests where s 38 claimed,Other requests where s 38 claimed,Personal requests where s 42 claimed,Other requests where s 42 claimed,Personal requests where s 45 claimed,Other requests where  s 45 claimed,Personal requests where s 46 claimed,Other requests where s 46 claimed,Personal requests where s 47 claimed,Other requests where s 47 claimed,Personal requests where s 47A claimed,Other requests where s 47A claimed,Personal requests where s 47B claimed,Other requests where s 47B claimed,Personal requests where s 47C claimed,Other requests where s 47C claimed,Personal requests where s 47D claimed,Other requests where s 47D claimed,Personal requests where s 47E claimed,Other requests where s 47E claimed,Personal requests where s 47F claimed,Other requests where s 47F claimed,Personal requests where s 47G claimed,Other requests where s 47G claimed,Personal requests where s 47H claimed,Other requests where s 47H claimed,Personal requests where s 47J claimed,Other requests where s 47J claimed,Disclosure log listing links to information on same website,Disclosure log listing links to information on another website,Disclosure log listing explains other means of access,Disclosure log unique visitors,Disclosure log pageviews,Disclosure log webstats  not collected
2012-2013,1,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,18/10/2012 15:13,0,4,0,2,1,1,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2607,0,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,184,267,FALSE
2012-2013,2,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,17/01/2013 8:40,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,9752,0,8476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,TRUE
2012-2013,3,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,17/04/2013 14:18,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
2012-2013,4,Australian Fisheries Management Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,2/07/2013 13:16,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1007,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
2012-2013,1,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,15/10/2012 13:01,0,51,0,0,0,31,0,7,0,5,0,1,0,0,0,36,0,13,0,0,0,0,0,0,0,0,0,68,0,18609,0,11297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,96,154,FALSE
2012-2013,2,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,21/01/2013 11:27,0,48,0,0,0,0,0,59,0,5,0,3,0,0,0,2,0,67,0,0,0,0,0,0,0,0,0,0,0,6377,0,6291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,99,248,FALSE
2012-2013,3,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,18/04/2013 16:09,0,19,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,11,0,2134,0,4763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,162,FALSE
2012-2013,4,Australian Pesticides and Veterinary Medicines Authority,TRUE,No data,"Agriculture, Fisheries and Forestry",FALSE,FALSE,11/07/2013 11:16,0,32,0,0,0,0,0,15,0,7,0,5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,31,0,5872,0,5520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,99,261,FALSE
2012-2013,1,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,7/11/2012 15:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2012-2013,2,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,18/01/2013 10:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
2012-2013,3,Cotton Research and Development Corporation,TRUE,No data,"Agriculture, Fisheries and Forestry",TRUE,FALSE,4/04/2013 12:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
