ActID,ActionID,EmpID,EffectiveDt
1,10,1,1970-01-01 00:00:00.000000001
2,10,2,1970-01-01 00:00:00.000000002
3,10,3,1970-01-01 00:00:00.000000003
4,10,4,1970-01-01 00:00:00.000000004
5,10,5,1970-01-01 00:00:00.000000005
6,10,6,1970-01-01 00:00:00.000000006
7,10,7,1970-01-01 00:00:00.000000007
8,10,8,1970-01-01 00:00:00.000000008
9,10,9,1970-01-01 00:00:00.000000009
10,10,10,1970-01-01 00:00:00.000000010
11,10,11,1970-01-01 00:00:00.000000011
12,10,12,1970-01-01 00:00:00.000000012
13,10,13,1970-01-01 00:00:00.000000013
14,10,14,1970-01-01 00:00:00.000000014
15,10,15,1970-01-01 00:00:00.000000015
16,10,16,1970-01-01 00:00:00.000000016
17,10,17,1970-01-01 00:00:00.000000017
18,10,18,1970-01-01 00:00:00.000000018
19,10,19,1970-01-01 00:00:00.000000019
20,10,20,1970-01-01 00:00:00.000000020
21,10,21,1970-01-01 00:00:00.000000021
22,10,22,1970-01-01 00:00:00.000000022
23,10,23,1970-01-01 00:00:00.000000023
24,10,24,1970-01-01 00:00:00.000000024
25,10,25,1970-01-01 00:00:00.000000025
26,10,26,1970-01-01 00:00:00.000000026
27,10,27,1970-01-01 00:00:00.000000027
28,10,28,1970-01-01 00:00:00.000000028
29,10,29,1970-01-01 00:00:00.000000029
30,10,30,1970-01-01 00:00:00.000000030
31,10,31,1970-01-01 00:00:00.000000031
32,10,32,1970-01-01 00:00:00.000000032
33,10,33,1970-01-01 00:00:00.000000033
34,10,34,1970-01-01 00:00:00.000000034
35,10,35,1970-01-01 00:00:00.000000035
36,10,36,1970-01-01 00:00:00.000000036
37,10,37,1970-01-01 00:00:00.000000037
38,10,38,1970-01-01 00:00:00.000000038
39,10,39,1970-01-01 00:00:00.000000039
40,10,40,1970-01-01 00:00:00.000000040
41,10,41,1970-01-01 00:00:00.000000041
42,10,42,1970-01-01 00:00:00.000000042
43,10,43,1970-01-01 00:00:00.000000043
44,10,44,1970-01-01 00:00:00.000000044
45,10,45,1970-01-01 00:00:00.000000045
46,10,46,1970-01-01 00:00:00.000000046
47,10,47,1970-01-01 00:00:00.000000047
48,10,48,1970-01-01 00:00:00.000000048
49,10,49,1970-01-01 00:00:00.000000049
50,10,50,1970-01-01 00:00:00.000000050
51,10,51,1970-01-01 00:00:00.000000051
52,10,52,1970-01-01 00:00:00.000000052
53,10,53,1970-01-01 00:00:00.000000053
54,10,54,1970-01-01 00:00:00.000000054
55,10,55,1970-01-01 00:00:00.000000055
56,10,56,1970-01-01 00:00:00.000000056
57,10,57,1970-01-01 00:00:00.000000057
58,10,58,1970-01-01 00:00:00.000000058
59,10,59,1970-01-01 00:00:00.000000059
60,10,60,1970-01-01 00:00:00.000000060
61,10,61,1970-01-01 00:00:00.000000061
62,10,62,1970-01-01 00:00:00.000000062
63,10,63,1970-01-01 00:00:00.000000063
64,10,64,1970-01-01 00:00:00.000000064
65,10,65,1970-01-01 00:00:00.000000065
66,10,66,1970-01-01 00:00:00.000000066
67,10,67,1970-01-01 00:00:00.000000067
68,10,68,1970-01-01 00:00:00.000000068
69,10,69,1970-01-01 00:00:00.000000069
70,10,70,1970-01-01 00:00:00.000000070
71,10,71,1970-01-01 00:00:00.000000071
72,10,72,1970-01-01 00:00:00.000000072
73,10,73,1970-01-01 00:00:00.000000073
74,10,74,1970-01-01 00:00:00.000000074
75,10,75,1970-01-01 00:00:00.000000075
76,10,76,1970-01-01 00:00:00.000000076
77,10,77,1970-01-01 00:00:00.000000077
78,10,78,1970-01-01 00:00:00.000000078
79,10,79,1970-01-01 00:00:00.000000079
80,10,80,1970-01-01 00:00:00.000000080
81,10,81,1970-01-01 00:00:00.000000081
82,10,82,1970-01-01 00:00:00.000000082
83,10,83,1970-01-01 00:00:00.000000083
84,10,84,1970-01-01 00:00:00.000000084
85,10,85,1970-01-01 00:00:00.000000085
86,10,86,1970-01-01 00:00:00.000000086
87,10,87,1970-01-01 00:00:00.000000087
88,10,88,1970-01-01 00:00:00.000000088
89,10,89,1970-01-01 00:00:00.000000089
90,10,90,1970-01-01 00:00:00.000000090
91,10,91,1970-01-01 00:00:00.000000091
92,10,92,1970-01-01 00:00:00.000000092
93,10,93,1970-01-01 00:00:00.000000093
94,10,94,1970-01-01 00:00:00.000000094
95,10,95,1970-01-01 00:00:00.000000095
96,10,96,1970-01-01 00:00:00.000000096
97,10,97,1970-01-01 00:00:00.000000097
98,10,98,1970-01-01 00:00:00.000000098
99,10,99,1970-01-01 00:00:00.000000099
100,10,100,1970-01-01 00:00:00.000000100
101,10,101,1970-01-01 00:00:00.000000101
102,10,102,1970-01-01 00:00:00.000000102
103,10,103,1970-01-01 00:00:00.000000103
104,10,104,1970-01-01 00:00:00.000000104
105,10,105,1970-01-01 00:00:00.000000105
106,10,106,1970-01-01 00:00:00.000000106
107,10,107,1970-01-01 00:00:00.000000107
108,10,108,1970-01-01 00:00:00.000000108
109,10,109,1970-01-01 00:00:00.000000109
110,10,110,1970-01-01 00:00:00.000000110
111,10,111,1970-01-01 00:00:00.000000111
112,10,112,1970-01-01 00:00:00.000000112
113,10,113,1970-01-01 00:00:00.000000113
114,10,114,1970-01-01 00:00:00.000000114
115,10,115,1970-01-01 00:00:00.000000115
116,10,116,1970-01-01 00:00:00.000000116
